,goalsPerGame,goalsAgainstPerGame,powerPlayPercentage,penaltyKillPercentage,shotsPerGame,shotsAllowed,shootingPctg,savePctg,savesPerGame,failedShotsPerGame,ties,winScoreFirstGreater61_high,aboveMeanAdjWins
95,3.713,4.188,21.0,74.6,32.8625,31.4125,11.3,86.7,27.2346375,29.1490375,12,0,-8.352941176470587
96,3.913,3.95,20.7,81.5,28.6875,31.375,13.6,87.4,27.42175,24.786,12,0,-1.352941176470587
97,3.438,3.563,20.3,76.7,29.0875,28.0875,11.8,87.3,24.5203875,25.655175,12,1,-2.352941176470587
98,4.425,2.825,25.2,82.8,34.6375,25.7375,12.8,89.0,22.906375,30.2039,9,1,17.147058823529413
99,4.063,3.825,19.8,82.8,27.8125,30.4,14.6,87.4,26.569599999999998,23.751875,8,0,0.647058823529413
100,3.138,3.163,19.0,80.8,30.5375,28.275,10.3,88.8,25.1082,27.3921375,8,0,-4.352941176470587
101,4.7,4.188,20.6,80.3,31.5625,33.7125,14.9,87.6,29.532149999999998,26.8596875,7,0,4.147058823529413
102,3.688,3.6,19.0,80.3,30.8,30.7125,12.0,88.3,27.119137499999997,27.104,9,0,0.235294117647058
103,3.513,3.6,23.6,76.5,29.4875,33.525,11.9,89.3,29.937825,25.9784875,11,0,-4.764705882352942
104,3.488,3.338,23.5,78.7,29.8125,30.0375,11.7,88.9,26.7033375,26.324437500000002,13,0,1.235294117647058
105,3.625,3.713,19.2,81.0,30.85,31.8,11.8,88.3,28.0794,27.2097,11,0,-5.764705882352942
106,3.975,4.488,21.3,74.7,29.0,33.55,13.7,86.6,29.054299999999998,25.027,8,0,-5.264705882352942
107,3.613,2.9,23.6,83.2,32.6375,26.8375,11.1,89.2,23.939049999999998,29.014737500000003,9,1,9.235294117647058
108,3.575,3.1,22.1,83.5,30.2,31.55,11.8,90.2,28.4581,26.6364,8,1,7.735294117647058
109,3.6,2.925,15.9,80.7,31.1,28.75,11.6,89.8,25.8175,27.4924,11,1,5.235294117647058
110,4.213,4.475,23.3,78.2,30.4375,34.975,13.8,87.2,30.4982,26.237125,4,1,-1.264705882352942
111,3.55,3.438,17.0,80.8,30.2625,29.05,11.7,88.2,25.6221,26.7217875,6,1,-2.264705882352942
112,3.95,3.675,22.9,80.2,33.0,27.35,12.0,86.6,23.685100000000002,29.04,6,1,2.735294117647058
113,3.6,4.038,16.4,75.3,28.275,31.0625,12.7,87.0,27.024375,24.684075,14,0,-6.264705882352942
114,3.688,3.488,22.5,80.9,29.1625,29.5,12.6,88.2,26.019000000000002,25.488025,9,0,0.235294117647058
115,4.35,3.313,27.7,79.2,34.35,25.3375,12.7,86.9,22.0182875,29.987550000000002,15,0,8.235294117647058
116,3.938,3.538,20.6,80.3,28.15,29.0625,14.0,87.8,25.516875,24.209,14,1,3.735294117647058
117,3.063,3.825,17.1,74.8,28.8375,30.3375,10.6,87.4,26.514975,25.780725,14,0,-9.264705882352942
118,4.225,4.213,22.2,76.0,29.65,31.0375,14.2,86.4,26.8164,25.4397,7,1,-3.764705882352942
119,3.4,3.3,19.9,79.7,31.1875,27.95,10.9,88.2,24.6519,27.7880625,15,1,-2.558823529411768
120,2.788,3.625,16.1,77.9,27.1,31.1875,10.3,88.4,27.56975,24.3087,10,0,-12.058823529411768
121,3.713,3.313,23.6,79.8,30.55,31.875,12.2,89.60000000000001,28.560000000000002,26.8229,13,0,0.44117647058823195
122,3.15,3.338,20.1,80.8,28.55,28.675,11.0,88.4,25.3487,25.4095,10,0,-4.058823529411768
123,4.275,3.813,22.9,79.2,30.2,34.0375,14.2,88.8,30.2253,25.9116,6,1,1.941176470588232
124,3.738,3.3,21.1,82.6,31.4,28.0,11.9,88.2,24.696,27.6634,12,1,7.941176470588232
125,3.65,3.475,18.2,83.2,30.125,30.4,12.1,88.6,26.9344,26.479875,19,0,-1.558823529411768
126,3.413,3.113,18.5,80.8,29.8125,28.95,11.4,89.2,25.8234,26.413875,11,1,2.441176470588232
127,3.013,3.975,17.6,77.5,29.2875,32.1625,10.3,87.6,28.17435,26.2708875,11,0,-13.558823529411768
128,3.225,3.225,18.8,86.0,29.625,26.4,10.9,87.8,23.179199999999998,26.395875,7,0,-1.558823529411768
129,3.55,2.638,22.1,83.8,32.05,27.675,11.1,90.5,25.045875000000002,28.492449999999998,8,1,10.941176470588232
130,3.413,3.725,16.4,77.7,28.875,29.4125,11.8,87.3,25.6771125,25.46775,8,1,-4.058823529411768
131,3.875,3.125,20.1,83.8,31.875,29.3125,12.2,89.3,26.1760625,27.986250000000002,11,1,10.441176470588232
132,4.3,3.288,23.7,81.7,32.55,27.5,13.2,88.0,24.2,28.253399999999996,8,0,7.941176470588232
133,3.4,3.4,17.4,79.4,27.5875,30.35,12.3,88.8,26.9508,24.1942375,6,1,-2.058823529411768
134,3.038,3.938,16.6,77.6,29.975,29.6375,10.1,86.7,25.6957125,26.947525000000002,9,0,-9.558823529411768
135,4.25,3.175,20.5,83.0,30.125,30.15,14.1,89.5,26.98425,25.877375,10,1,8.941176470588232
136,3.613,3.238,17.5,81.8,31.1875,28.625,11.6,88.7,25.390375,27.56975,11,1,2.055555555555557
137,3.638,3.738,22.1,76.5,27.825,32.875,13.1,88.6,29.12725,24.179925,11,1,-1.9444444444444429
138,4.013,3.075,20.9,84.8,32.9125,31.7875,12.2,90.3,28.7041125,28.897175,5,1,11.055555555555557
139,3.15,3.413,16.6,80.6,29.05,28.6875,10.8,88.1,25.2736875,25.9126,11,0,-3.944444444444443
140,4.288,3.85,21.8,79.9,31.775,31.475,13.5,87.8,27.63505,27.485374999999998,9,1,2.055555555555557
141,3.375,3.438,19.0,80.2,33.3,29.2375,10.1,88.2,25.787475,29.9367,12,1,0.5555555555555571
142,3.613,3.738,22.5,78.5,32.5,32.25,11.1,88.4,28.509,28.892500000000002,12,0,-4.444444444444443
143,3.338,2.588,19.5,81.2,30.5375,27.8375,10.9,90.7,25.2486125,27.2089125,11,1,5.055555555555557
144,2.925,3.675,17.5,80.9,30.3125,31.125,9.6,88.2,27.45225,27.4025,7,0,-7.944444444444443
145,4.125,3.438,22.3,83.7,31.0125,28.3875,13.3,87.9,24.9526125,26.8878375,8,1,7.555555555555557
146,3.213,2.95,17.3,84.2,33.075,25.35,9.7,88.4,22.4094,29.866725000000002,15,0,2.055555555555557
147,4.0,3.2,18.6,81.4,30.975,27.975,12.9,88.6,24.78585,26.979225,12,1,7.555555555555557
148,3.488,3.325,19.2,83.5,29.7,33.8375,11.7,90.2,30.521425,26.2251,11,1,0.055555555555557135
