gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,id,name,year_range,name_year,failed_playoff_flag
80,17,57,0,40,25,3.325,5.188,20.9,79,378,71,28.5,32.85,0.313,0.146,0.478,0.714,0.273,0.191,0,0,0,0,11.7,0.842,17,Detroit Red Wings,19851986,Detroit Red Wings1986,1
80,37,34,0,83,51.9,3.775,3.638,21.6,78,362,77.2,31.4375,32.25,0.595,0.349,0.81,0.852,0.5,0.525,0,0,0,0,12,0.887,19,St. Louis Blues,19851986,St. Louis Blues1986,0
80,40,31,0,89,55.6,4.425,3.938,24.3,92,378,76.2,34.5625,31.425,0.762,0.211,0.885,0.912,0.614,0.5,0,0,0,0,12.8,0.875,20,Calgary Flames,19851986,Calgary Flames1986,0
80,56,17,0,119,74.4,5.325,3.875,26.3,78,297,81.1,33.0625,34.725,0.804,0.559,0.93,0.917,0.8,0.718,0,0,0,0,16.1,0.888,22,Edmonton Oilers,19851986,Edmonton Oilers1986,0
80,23,44,0,59,36.9,3.525,4.163,21.2,89,419,78.6,29.525,30.1875,0.378,0.209,0.652,0.808,0.469,0.25,0,0,0,0,11.9,0.862,23,Vancouver Canucks,19851986,Vancouver Canucks1986,0
80,23,49,0,54,33.8,3.55,4.863,17.5,69,394,71.9,30.3,32.625,0.467,0.18,0.667,0.875,0.4,0.262,0,0,0,0,11.7,0.851,26,Los Angeles Kings,19851986,Los Angeles Kings1986,1
80,29,45,0,64,40,3.663,4.6,21.9,82,375,73.2,29.4625,33.6375,0.486,0.267,0.536,0.857,0.381,0.388,0,0,0,0,12.4,0.863,1,New Jersey Devils,19861987,New Jersey Devils1987,1
80,35,33,0,82,51.3,3.488,3.513,25.1,84,335,78,31.0125,27.8375,0.6,0.275,0.8,0.905,0.563,0.421,0,0,0,0,11.2,0.874,2,New York Islanders,19861987,New York Islanders1987,0
80,34,38,0,76,47.5,3.838,4.038,19.9,75,377,81.1,30.9,31.9625,0.714,0.2,0.7,0.714,0.414,0.524,0,0,0,0,12.4,0.874,3,New York Rangers,19861987,New York Rangers1987,0
80,46,26,0,100,62.5,3.875,3.063,19,68,358,82.2,30.175,30.7125,0.72,0.333,0.914,0.973,0.583,0.714,0,0,0,0,12.8,0.9,4,Philadelphia Flyers,19861987,Philadelphia Flyers1987,0
80,30,38,0,72,45,3.713,3.625,20.9,74,355,76.1,30.325,29.45,0.541,0.233,0.875,0.895,0.526,0.31,0,0,0,0,12.2,0.877,5,Pittsburgh Penguins,19861987,Pittsburgh Penguins1987,1
80,39,34,0,85,53.1,3.763,3.45,19.6,66,336,81.5,30.0625,29.6,0.581,0.378,0.81,1,0.629,0.485,0,0,0,0,12.5,0.883,6,Boston Bruins,19861987,Boston Bruins1987,0
80,28,44,0,64,40,3.5,3.85,18.6,68,366,75.6,30.325,29.0625,0.538,0.171,0.826,0.88,0.417,0.3,0,0,0,0,11.5,0.868,7,Buffalo Sabres,19861987,Buffalo Sabres1987,1
80,41,29,0,92,57.5,3.463,3.013,21,67,319,83.3,28,27.125,0.548,0.474,0.786,0.912,0.694,0.467,0,0,0,0,12.4,0.889,8,Montreal Canadiens,19861987,Montreal Canadiens1987,0
80,32,42,0,70,43.8,3.575,3.988,17.2,52,302,78,30.125,32.4375,0.6,0.2,0.633,0.889,0.5,0.364,0,0,0,0,11.9,0.877,10,Toronto Maple Leafs,19861987,Toronto Maple Leafs1987,0
80,38,32,0,86,53.8,3.563,3.475,19.2,65,339,80.9,28.425,29.525,0.571,0.4,0.767,0.833,0.577,0.525,0,0,0,0,12.5,0.882,15,Washington Capitals,19861987,Washington Capitals1987,0
80,29,37,0,72,45,3.625,3.875,17,55,324,76.2,32.0125,33.875,0.5,0.238,0.667,0.917,0.423,0.447,0,0,0,0,11.3,0.886,16,Chicago Blackhawks,19861987,Chicago Blackhawks1987,0
80,34,36,0,78,48.8,3.25,3.425,20.5,69,337,78.6,27.175,28.8125,0.629,0.267,0.778,0.828,0.48,0.439,0,0,0,0,12,0.881,17,Detroit Red Wings,19861987,Detroit Red Wings1987,0
80,32,33,0,79,49.4,3.513,3.663,24.6,79,321,81.4,29.3375,29.55,0.556,0.273,0.72,0.857,0.485,0.5,0,0,0,0,12,0.876,19,St. Louis Blues,19861987,St. Louis Blues1987,0
80,46,31,0,95,59.4,3.975,3.613,25,80,320,79.8,31.6,30.325,0.66,0.455,0.688,0.9,0.605,0.567,0,0,0,0,12.6,0.881,20,Calgary Flames,19861987,Calgary Flames1987,0
80,50,24,0,106,66.3,4.65,3.55,22.4,70,313,80,29.4625,29.625,0.711,0.514,0.824,0.844,0.667,0.667,0,0,0,0,15.8,0.88,22,Edmonton Oilers,19861987,Edmonton Oilers1987,0
80,29,43,0,66,41.3,3.525,3.925,23.3,82,352,75.9,29.725,28.5125,0.395,0.324,0.621,0.826,0.385,0.424,0,0,0,0,11.9,0.862,23,Vancouver Canucks,19861987,Vancouver Canucks1987,1
80,31,41,0,70,43.8,3.975,4.263,25.3,97,384,73.1,30.9125,31.125,0.487,0.293,0.667,0.759,0.559,0.306,0,0,0,0,12.9,0.863,26,Los Angeles Kings,19861987,Los Angeles Kings1987,0
80,38,36,0,82,51.3,3.688,3.7,20.8,100,481,78.4,29.95,28,0.644,0.257,0.759,0.893,0.587,0.3,0,0,0,0,12.3,0.868,1,New Jersey Devils,19871988,New Jersey Devils1988,0
80,39,31,0,88,55,3.85,3.338,22.5,87,387,77.4,30.2125,31.6125,0.646,0.25,0.73,0.853,0.481,0.49,0,0,0,0,12.7,0.894,2,New York Islanders,19871988,New York Islanders1988,0
80,36,34,0,82,51.3,3.75,3.538,22.6,111,491,80.6,31.7625,30.475,0.56,0.267,0.828,0.762,0.556,0.281,0,0,0,0,11.8,0.884,3,New York Rangers,19871988,New York Rangers1988,1
80,38,33,0,85,53.1,3.65,3.65,18,83,461,81,31.025,30.55,0.645,0.367,0.769,0.718,0.568,0.41,0,0,0,0,11.8,0.881,4,Philadelphia Flyers,19871988,Philadelphia Flyers1988,0
80,36,35,0,81,50.6,3.988,3.95,22.2,111,501,76.4,31.3,31.05,0.636,0.319,0.781,0.844,0.548,0.29,0,0,0,0,12.7,0.873,5,Pittsburgh Penguins,19871988,Pittsburgh Penguins1988,1
80,44,30,0,94,58.8,3.75,3.138,16.6,74,446,83.5,32.4125,27.2,0.732,0.359,0.667,0.784,0.566,0.56,0,0,0,0,11.6,0.885,6,Boston Bruins,19871988,Boston Bruins1988,0
80,37,32,0,85,53.1,3.538,3.813,17.2,80,464,78.1,29.875,32.2125,0.667,0.268,0.76,0.9,0.625,0.356,0,0,0,0,11.8,0.882,7,Buffalo Sabres,19871988,Buffalo Sabres1988,0
80,45,22,0,103,64.4,3.725,2.975,15.9,63,397,83.8,29.9625,28.775,0.733,0.343,0.892,0.826,0.568,0.563,0,0,0,0,12.4,0.897,8,Montreal Canadiens,19871988,Montreal Canadiens1988,0
80,21,49,0,52,32.5,3.413,4.313,15.6,54,347,77.9,30.1375,33.9875,0.448,0.157,0.632,0.72,0.375,0.212,0,0,0,0,11.3,0.873,10,Toronto Maple Leafs,19871988,Toronto Maple Leafs1988,0
80,38,33,0,85,53.1,3.513,3.113,20,94,469,81,30.7625,27.825,0.609,0.294,0.743,0.853,0.549,0.375,0,0,0,0,11.4,0.888,15,Washington Capitals,19871988,Washington Capitals1988,0
80,30,41,0,69,43.1,3.55,4.1,23.2,99,426,80.2,29.3375,35.675,0.541,0.233,0.68,0.818,0.524,0.316,0,0,0,0,12.1,0.885,16,Chicago Blackhawks,19871988,Chicago Blackhawks1988,0
80,41,28,0,93,58.1,4.025,3.363,18.8,72,383,83.9,28.1875,30.2375,0.6,0.4,0.742,0.738,0.625,0.442,0,0,0,0,14.3,0.889,17,Detroit Red Wings,19871988,Detroit Red Wings1988,0
80,34,38,0,76,47.5,3.475,3.675,19.9,82,413,79.3,28.5625,30.3125,0.5,0.375,0.65,0.871,0.394,0.409,0,0,0,0,12.2,0.879,19,St. Louis Blues,19871988,St. Louis Blues1988,0
80,48,23,0,105,65.6,4.963,3.813,28.5,109,383,80.4,33.325,29.65,0.795,0.415,0.816,0.878,0.625,0.567,0,0,0,0,14.9,0.871,20,Calgary Flames,19871988,Calgary Flames1988,0
