,aboveMeanAdjWins,failed_playoff_flag
183,-0.3409090909090935,0
184,-0.8409090909090935,0
185,5.6590909090909065,0
186,1.1590909090909065,0
187,4.1590909090909065,0
188,-12.340909090909093,1
189,-1.8409090909090935,0
190,-8.840909090909093,1
191,4.1590909090909065,0
192,-11.340909090909093,1
193,-3.3409090909090935,0
194,0.5,0
195,-2.0,0
196,4.5,0
197,5.0,0
198,3.0,0
199,0.0,0
200,-4.0,1
201,-0.5,0
202,-2.5,1
203,0.5,0
204,1.0,0
205,9.5,0
206,5.0,0
207,2.0,0
208,-6.5,1
209,-1.5,0
210,-4.5,0
211,-5.0,1
212,-4.5,0
213,1.8125,1
214,-14.1875,1
215,6.8125,0
216,10.3125,0
217,9.8125,0
218,4.3125,0
219,-4.6875,1
220,3.8125,0
221,-20.6875,1
222,-1.1875,0
223,4.8125,0
224,2.8125,0
225,3.3125,0
226,5.8125,0
227,24.3125,0
228,-1.1875,0
229,-1.6875,0
230,10.8125,0
231,-7.1875,1
232,-1.6875,0
233,-2.1875,1
234,-8.1875,1
235,-8.1875,1
236,-17.6875,1
237,10.875,0
238,-6.125,1
239,1.875,0
240,10.375,0
241,0.875,0
242,-10.625,1
243,4.875,0
244,-2.625,0
245,-2.625,0
246,-7.125,1
247,3.375,0
248,-4.125,1
249,-3.625,1
250,-0.625,0
251,5.875,0
252,0.375,0
253,-4.625,1
254,12.375,0
255,-0.625,0
256,-2.625,1
257,1.375,0
258,10.875,0
259,-7.625,1
260,-10.125,1
261,12.5,0
262,-5.5,1
263,-7.0,1
264,6.5,0
265,8.0,0
266,4.5,0
267,3.5,0
268,2.5,0
269,0.5,0
270,-6.5,1
271,-4.0,1
272,-9.5,1
273,-19.0,1
274,5.0,0
275,-4.5,1
276,10.5,0
277,8.0,0
278,-7.5,1
279,6.5,0
280,-1.0,0
281,-9.0,1
282,-8.5,1
283,13.5,0
284,2.5,0
285,-2.0,0
286,11.653846153846153,0
287,-11.846153846153847,1
288,-2.3461538461538467,1
289,5.653846153846153,0
290,4.153846153846153,0
291,4.653846153846153,0
292,4.653846153846153,0
293,-3.3461538461538467,1
294,10.653846153846153,0
295,7.653846153846153,0
296,2.1538461538461533,0
297,-1.8461538461538467,1
298,-17.346153846153847,1
299,-6.846153846153847,1
300,-5.846153846153847,1
301,5.653846153846153,0
302,-9.346153846153847,1
303,2.6538461538461533,0
304,-4.846153846153847,1
305,8.153846153846153,0
306,-1.8461538461538467,0
307,-11.846153846153847,1
308,0.6538461538461533,0
309,16.153846153846153,0
310,-6.346153846153847,1
311,-0.8461538461538467,0
312,7.634615384615387,0
313,-14.865384615384613,1
314,-7.365384615384613,1
315,8.634615384615387,0
316,0.1346153846153868,0
317,-7.365384615384613,1
318,-1.3653846153846132,0
319,-2.365384615384613,1
320,3.634615384615387,0
321,6.134615384615387,0
322,-1.8653846153846132,1
323,5.134615384615387,0
324,-16.865384615384613,1
325,7.134615384615387,0
326,-4.865384615384613,1
327,10.134615384615387,0
328,-8.865384615384613,1
329,13.134615384615387,0
330,-5.365384615384613,1
331,4.134615384615387,0
332,0.1346153846153868,0
333,-2.365384615384613,1
334,-2.365384615384613,1
335,7.134615384615387,0
336,3.134615384615387,0
337,-0.3653846153846132,0
338,12.07142857142857,0
339,-17.42857142857143,1
340,-7.428571428571431,1
341,6.571428571428569,0
342,4.571428571428569,0
343,0.5714285714285694,1
344,5.571428571428569,0
345,-8.42857142857143,1
346,11.07142857142857,0
347,1.5714285714285694,0
348,0.5714285714285694,0
349,-10.42857142857143,1
350,-13.92857142857143,1
351,4.571428571428569,0
352,-7.928571428571431,1
353,12.07142857142857,0
354,-3.4285714285714306,1
355,8.07142857142857,0
356,-6.928571428571431,1
357,15.57142857142857,0
358,3.0714285714285694,0
359,1.5714285714285694,0
360,-10.42857142857143,1
361,9.57142857142857,0
362,2.5714285714285694,0
363,4.071428571428569,0
